# Translation from CC-CEDICT,,,,,
# Creative Commons Attribution-Share Alike 3.0 License ,,,,,
Simplified,Pinyin,Edition,Level,Lesson,English
半,bàn,1,1,3,/half/semi-/incomplete/(after a number) and a half/
晚上,wǎnshang,1,1,3,/evening/night/CL:個|个[ge4]/in the evening/
见,jiàn,1,1,3,/appear/
再见,zàijiàn,1,1,3,/goodbye/see you again later/
再,zài,1,1,3,/again/once more/re-/second/another/then (after sth and not until then)/
小白,xiǎobái,1,1,3,
白,bái,1,1,3,/white/snowy/pure/bright/empty/blank/plain/clear/to make clear/in vain/gratuitous/free of charge/reactionary/anti-communist/funeral/to stare coldly/to write wrong character/to state/to explain/vernacular/spoken lines in opera/
现在,xiànzài,1,1,3,/now/at present/at the moment/modern/current/nowadays/
刻,kè,1,1,3,/quarter (hour)/moment/to carve/to engrave/to cut/oppressive/classifier for short time intervals/
事,shì,1,1,3,/matter/thing/item/work/affair/CL:件[jian4]樁|桩[zhuang1]/
明天,míngtiān,1,1,3,/tomorrow/
忙,máng,1,1,3,/busy/hurriedly/
今天,jīntiān,1,1,3,/today/at the present/now/
很,hěn,1,1,3,/(adverb of degree)/quite/very/awfully/
为什么,wèishénme,1,1,3,/why?/for what reason?/
为,wèi,1,1,3,/variant of 為|为[wei4] because of/for/to/
因为,yīnwèi,1,1,3,/because/owing to/on account of/
还有,háiyǒu,1,1,3,/furthermore/in addition/still/also/
同学,tóngxué,1,1,3,/to study at the same school/fellow student/classmate/CL:位[wei4]個|个[ge4]/
认识,rènshi,1,1,3,/to know/to recognize/to be familiar with/acquainted with sth/knowledge/understanding/awareness/cognition/
周末,zhōumò,1,1,4,/weekend/
打球,dǎ qiú,1,1,4,/to play ball/to play with a ball/
打,dǎ,1,1,4,/to beat/to strike/to hit/to break/to type/to mix up/to build/to fight/to fetch/to make/to tie up/to issue/to shoot/to calculate/to play (a game)/since/from/
球,qiú,1,1,4,/ball/sphere/globe/CL:個|个[ge4]/ball game/match/CL:場|场[chang3]/
看,kàn,1,1,4,/to see/to look at/to read/to watch/to consider/to regard as/to view as/to treat as/to judge/(after repeated verb) to give it a try/depending on (how you're judging)/to visit/to call on/to treat (an illness)/to look after/Watch out! (for a danger)/
电视,diànshì,1,1,4,/television/TV/CL:臺|台[tai2]個|个[ge4]/
电,diàn,1,1,4,/electric/electricity/electrical/
视,shì,1,1,4,/to look at/to regard/to inspect/
唱歌,chàng gē,1,1,4,/to sing a song/
唱,chàng,1,1,4,/sing/to call loudly/to chant/
歌,gē,1,1,4,/song/CL:支[zhi1]首[shou3]/to sing/
跳舞,tiào wǔ,1,1,4,/to dance/
跳,tiào,1,1,4,/to jump/to hop/to skip over/to bounce/to palpitate/
舞,wǔ,1,1,4,/to dance/to wield/to brandish/
听,tīng,1,1,4,/to let/to allow/
音乐,yīnyuè,1,1,4,/music/CL:張|张[zhang1]曲[qu3]
对,duì,1,1,4,/couple/pair/to be opposite/to oppose/to face/versus/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right/
有时候,yǒu shíhou,1,1,4,/sometimes/
时候,shíhou,1,1,4,/time/length of time/moment/period/
看书,kàn shū,1,1,4,/to read/
书,shū,1,1,4,/book/letter/CL:本[ben3]冊|册[ce4]
电影,diànyǐng,1,1,4,/movie/film/CL:部[bu4]片[pian4]
影,yǐng,1,1,4,/picture/image/film/movie/photograph/reflection/shadow/trace/
常常,chángcháng,1,1,4,/frequently/usually/often/
那,nà,1,1,4,/that/those/then (in that case)/commonly pr. [nei4] before a classifier esp. in Beijing/
去,qù,1,1,4,/to go/to go to (a place)/to cause to go or send (sb)/to remove/to get rid of/(when used either before or after a verb) to go in order to do sth/to be apart from in space or time/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation)/(of a time or an event etc) just passed or elapsed/
外国,wàiguó,1,1,4,/foreign (country)/CL:個|个[ge4]/
请客,qǐng kè,1,1,4,/to give a dinner party/to entertain guests/to invite to dinner/
昨天,zuótiān,1,1,4,/yesterday/
所以,suǒyǐ,1,1,4,/therefore/as a result/so/
好久,hǎojiǔ,1,1,4,/quite a while/
久,jiǔ,1,1,4,/(long) time/(long) duration of time/
不错,búcuò,1,1,4,/correct/right/not bad/pretty good/
错,cuò,1,1,4,/mistake/wrong/bad/interlocking/complex/to grind/to polish/to alternate/to stagger/to miss/to let slip/to evade/to inlay with gold or silver/
想,xiǎng,1,1,4,/to think/to believe/to suppose/to wish/to want/to miss/
觉得,juéde,1,1,4,/to think/to feel/
有意思,yǒu yìsi,1,1,4,/interesting/meaningful/enjoyable/fun/
意思,yìsi,1,1,4,/idea/opinion/meaning/wish/desire/CL:個|个[ge4]/
只,zhǐ,1,1,4,/only/merely/just/but/classifier for birds and certain animals one of a pair
睡觉,shuì jiào,1,1,4,/to go to bed/to sleep/
睡,shuì,1,1,4,/to sleep/
算了,suàn le,1,1,4,/let it be/let it pass/forget about it/
找,zhǎo,1,1,4,/to try to find/to look for/to call on sb/to find/to seek/to return/to give change/
别的,biéde,1,1,4,/else/other/
呀,ya,1,1,5,/(particle equivalent to 啊 after a vowel expressing surprise or doubt)/
